r,t,f,y,UseByTechnologyAnnual
RE1,DEMRESHEEL,ELC003,2069,18.5306
RE1,DEMRESHEEL,ELC003,2070,18.3534
RE1,DEMRESHEOIL,LFO,2039,0.1477
RE1,DEMRESHEOIL,LFO,2040,14.8347
RE1,DEMRESHEOIL,LFO,2041,25.2324
RE1,DEMRESHEOIL,LFO,2042,25.1066
RE1,DEMRESHEOIL,LFO,2043,24.9787
RE1,DEMRESHEOIL,LFO,2044,10.2608
RE1,DEMRESHEOIL,LFO,2046,0.1845
RE1,DEMRESHEOIL,LFO,2047,10.0312
RE1,DEMRESHEOIL,LFO,2048,19.6279
RE1,DEMRESHEOIL,LFO,2049,20.638
RE1,DEMTRABUSELC,ELCEV,2036,0.2746
RE1,DEMTRABUSELC,ELCEV,2037,3.7902
RE1,DEMTRABUSELC,ELCEV,2038,31.2727
RE1,DEMTRABUSELC,ELCEV,2039,31.2727
RE1,DEMTRABUSELC,ELCEV,2040,27.3636
RE1,DEMTRABUSELC,ELCEV,2041,31.2727
RE1,DEMTRABUSELC,ELCEV,2042,31.2727
RE1,DEMTRABUSELC,ELCEV,2043,31.2727
RE1,DEMTRABUSELC,ELCEV,2044,15.6363
RE1,DEMTRABUSELC,ELCEV,2045,26.299
RE1,DEMTRABUSELC,ELCEV,2046,15.6363
RE1,DEMTRABUSELC,ELCEV,2047,15.6363
RE1,DEMTRABUSELC,ELCEV,2051,15.7029
RE1,DEMTRABUSELC,ELCEV,2052,3.8138
RE1,DEMTRABUSELC,ELCEV,2053,15.8017
RE1,DEMTRABUSELC,ELCEV,2054,15.8333
RE1,DEMTRABUSELC,ELCEV,2055,15.8528
RE1,DEMTRABUSELC,ELCEV,2056,15.499
RE1,DEMTRABUSELC,ELCEV,2057,12.4811
RE1,DEMTRABUSELC,ELCEV,2070,21.1826
RE1,DEMTRABUSGSL,LFO,2015,49.9428
RE1,DEMTRABUSGSL,LFO,2016,52.6168
RE1,DEMTRABUSGSL,LFO,2017,55.434
RE1,DEMTRABUSGSL,LFO,2018,58.402
RE1,DEMTRABUSGSL,LFO,2019,61.5288
RE1,DEMTRABUSGSL,LFO,2020,64.8232
RE1,DEMTRABUSGSL,LFO,2021,67.31
RE1,DEMTRABUSGSL,LFO,2022,69.8724
RE1,DEMTRABUSGSL,LFO,2023,72.5142
RE1,DEMTRABUSGSL,LFO,2024,75.239
RE1,DEMTRABUSGSL,LFO,2025,78.0504
RE1,DEMTRABUSGSL,LFO,2026,80.871
RE1,DEMTRABUSGSL,LFO,2027,83.783
RE1,DEMTRABUSGSL,LFO,2028,86.7904
RE1,DEMTRABUSGSL,LFO,2029,89.8968
RE1,DEMTRABUSGSL,LFO,2030,93.1065
RE1,DEMTRABUSGSL,LFO,2031,94.5376
RE1,DEMTRABUSGSL,LFO,2032,96.1191
RE1,DEMTRABUSGSL,LFO,2033,97.8409
RE1,DEMTRABUSGSL,LFO,2034,99.6959
RE1,DEMTRABUSGSL,LFO,2035,106.2978
RE1,DEMTRABUSGSL,LFO,2036,108.926
RE1,DEMTRABUSGSL,LFO,2037,99.9768
RE1,DEMTRABUSGSL,LFO,2038,4.7676
RE1,DEMTRACARELC,ELCEV,2031,4.8215
RE1,DEMTRACARELC,ELCEV,2032,9.8239
RE1,DEMTRACARELC,ELCEV,2033,14.8265
RE1,DEMTRACARELC,ELCEV,2034,19.829
RE1,DEMTRACARELC,ELCEV,2035,24.8316
RE1,DEMTRACARELC,ELCEV,2036,29.8341
RE1,DEMTRACARELC,ELCEV,2037,34.8367
RE1,DEMTRACARELC,ELCEV,2038,39.8392
RE1,DEMTRACARELC,ELCEV,2039,38.8297
RE1,DEMTRACARELC,ELCEV,2040,39.8392
RE1,DEMTRACARELC,ELCEV,2041,33.4612
RE1,DEMTRACARELC,ELCEV,2042,21.5384
RE1,DEMTRACARELC,ELCEV,2043,17.6724
RE1,DEMTRACARELC,ELCEV,2044,37.9422
RE1,DEMTRACARELC,ELCEV,2045,19.9196
RE1,DEMTRACARELC,ELCEV,2046,24.3162
RE1,DEMTRACARELC,ELCEV,2047,19.9196
RE1,DEMTRACARELC,ELCEV,2048,6.7649
RE1,DEMTRACARELC,ELCEV,2050,18.7195
RE1,DEMTRACARELC,ELCEV,2052,21.1293
RE1,DEMTRACARELC,ELCEV,2054,1.1391
RE1,DEMTRACARELC,ELCEV,2055,7.4259
RE1,DEMTRACARELC,ELCEV,2056,4.3301
RE1,DEMTRACARELC,ELCEV,2057,22.5114
RE1,DEMTRACARELC,ELCEV,2058,22.5114
RE1,DEMTRACARELC,ELCEV,2059,16.069
RE1,DEMTRACARELC,ELCEV,2060,25.6003
RE1,DEMTRACARELC,ELCEV,2061,17.8556
RE1,DEMTRACARELC,ELCEV,2062,16.7579
